id;defence;defence_armor_type;fire_resistance;earth_resistance;water_resistance;wind_resistance;active_weapon_attack_damage;active_weapon_attack_hit;active_weapon_attack_type;size
1;72899;BASIC;91114;64177;7720;92230;BLUNT;23133;83891;54279
2;41684;BASIC;82243;83658;20720;74376;BLUNT;68185;69998;79284
3;20309;BASIC;61035;64328;5466;27193;BLUNT;26887;83189;88996
4;96579;BASIC;19544;37320;68423;27819;BLUNT;1964;39001;64793
5;30405;BASIC;92768;66643;27928;60572;BLUNT;41284;45208;15026
6;94802;BASIC;54349;15201;42760;98907;BLUNT;83750;45300;94404
7;56055;BASIC;34726;93875;71391;88214;BLUNT;1812;47892;24993
8;60802;BASIC;71357;17835;95413;1523;BLUNT;17549;92359;46256
9;82984;BASIC;16089;74045;24498;56172;BLUNT;77224;62531;95724
10;24470;BASIC;97570;46337;51283;95066;BLUNT;80906;95082;42031
