id;name;jhi_desc;image;image_content_type
1;Intelligent Frozen Chair e-services;California Tools;../fake-data/blob/hipster.png;image/png
2;Outdoors Sleek Plastic Shirt;connect Gorgeous copy;../fake-data/blob/hipster.png;image/png
3;cross-platform;Avon;../fake-data/blob/hipster.png;image/png
4;program grey Borders;Generic Concrete Chips;../fake-data/blob/hipster.png;image/png
5;logistical Managed;Pa'anga front-end;../fake-data/blob/hipster.png;image/png
6;withdrawal;Senior;../fake-data/blob/hipster.png;image/png
7;adapter Implementation Chair;drive Fields clicks-and-mortar;../fake-data/blob/hipster.png;image/png
8;orchid Computers parse;copying;../fake-data/blob/hipster.png;image/png
9;Credit Card Account Concrete International;Personal Loan Account Unbranded Puerto Rico;../fake-data/blob/hipster.png;image/png
10;Movies Borders;SQL;../fake-data/blob/hipster.png;image/png
