id;name;jhi_desc;image;image_content_type
1;program Money Market Account;Hills world-class;../fake-data/blob/hipster.png;image/png
2;program SMTP;Small Fresh Ball;../fake-data/blob/hipster.png;image/png
3;Inverse Forward;synthesize;../fake-data/blob/hipster.png;image/png
4;technologies Cambridgeshire;mobile connect auxiliary;../fake-data/blob/hipster.png;image/png
5;Frozen;virtual;../fake-data/blob/hipster.png;image/png
6;Intranet;ivory copy Auto Loan Account;../fake-data/blob/hipster.png;image/png
7;SCSI unleash e-commerce;Mongolia Refined human-resource;../fake-data/blob/hipster.png;image/png
8;circuit Practical innovate;capacity;../fake-data/blob/hipster.png;image/png
9;payment e-commerce;Strategist programming impactful;../fake-data/blob/hipster.png;image/png
10;Ergonomic Fresh Bacon communities;Nepalese Rupee;../fake-data/blob/hipster.png;image/png
