id;name;file;file_content_type;arguments_script
1;Customer payment;../fake-data/blob/hipster.png;image/png;HTTP deposit
2;Officer;../fake-data/blob/hipster.png;image/png;salmon
3;auxiliary Officer;../fake-data/blob/hipster.png;image/png;Tasty Director Venezuela
4;payment;../fake-data/blob/hipster.png;image/png;morph Managed withdrawal
5;niches Mandatory Integration;../fake-data/blob/hipster.png;image/png;orange Personal Loan Account
6;Direct Coves;../fake-data/blob/hipster.png;image/png;Optimization Bedfordshire
7;Peso Uruguayo Uruguay Peso en Unidades Indexadas Shoes monetize;../fake-data/blob/hipster.png;image/png;New Caledonia olive
8;e-business;../fake-data/blob/hipster.png;image/png;mindshare mission-critical
9;Buckinghamshire;../fake-data/blob/hipster.png;image/png;database
10;Grocery Meadows;../fake-data/blob/hipster.png;image/png;transmitter multi-byte Auto Loan Account
